report_no,year,country_iso3,doi,sha256
2001/092,2001,BOL,10.5089/9781451805727.002,5265e3d758c19db86640df083764ef0c0efb5ad5a73b1200eef29cb5194b4dc3
2001/094,2001,NLD,10.5089/9781451829358.002,e198a7ca43ac0c185d36e13423d1b41c4629f72eaf7dfb7dbb9e580494d2a91f
2001/121,2001,GRD,10.5089/9781451816396.002,c8e90c35fbe62c8812b43043dea29bd0e695b822063f7a94227ebe83d8d289d7
2001/127,2001,CMR,10.5089/9781451808032.002,43df84f7fb769e9a42e379fdd4ccf50f54f5cbe36abbdd53c90c051d690f5239
2001/135,2001,COM,10.5089/9781451809039.002,7543a7b24048687a2b7707f37623ab054bb3fd0c6f433e0feff94a067fcc5075
2001/139,2001,IRL,10.5089/9781451818734.002,72daf2f755232885edc740d9e425b0986f566e16533602c3434b3d540c3feb11
2001/162,2001,DZA,10.5089/9781451811377.002,f5254d867c8d367b85efbcb94d478705b87304e32576330ba99ffa7034e9509b
2001/166,2001,SWE,10.5089/9781451835939.002,318ccb6e72fce8d5875af54b8223dcea03f8c0ca57e39dcd1bf8468e83c71a51
2001/168,2001,CIV,10.5089/9781451807868.002,796399a8c599b8e57598615f0ddf1729c464fce0adafedfbc5782b38c0815a3b
2001/171,2001,NIC,10.5089/9781451829174.002,365409c073a11cc69a3bca762abe6f3e90530b76f62d4485f0b35c1816bdb3e8
2001/172,2001,NPL,10.5089/9781451829891.002,b0aea8e57c3e9ec8d0bec8cb40a1b3beaff96eeed66a29362519789fbc4092bf
2001/199,2001,FRA,10.5089/9781451813616.002,ca6c513e267ccde9c02a9c65f5d3e5dfcc04b34fd070ada75a8e1451f61f5d6e
2001/202,2001,DEU,10.5089/9781451810356.002,b06f8f09ab529456b5475210d04224e45e2c241b3a2d0920e314bf9eb9bf6035
2001/207,2001,ITA,10.5089/9781451819731.002,e900527e9f96340759a83c46f933e89bd4d3c6663198cd9fc421420c01bfa4d2
2001/212,2001,GEO,10.5089/9781451814521.002,b9c7f05266b4c632f472ffa10e80dea738ef97e6bd4e426e9d8e55ee6ef85e0b
2001/213,2001,FIN,10.5089/9781451813166.002,021306f7db8f9f264285d6e1a4aa24cb7576bf5ff7ff3c6e2527403074fba341
2001/223,2001,KGZ,10.5089/9781451821338.002,029ed5aed7231b3f4c2c747bc36fd4ed59d2cca907cd8a2e01194f344e15cdef
2001/225,2001,SMR,10.5089/9781451834826.002,ba418c948c4446b6eb4320794d22b1ff20fd06a763f7319f7d095e2308b27573
2002/004,2002,VNM,10.5089/9781451840186.002,b0b6e672e51b29916db958fcc84bee09a5048dc7729af5a28af4394f48e6bd31
2002/008,2002,LTU,10.5089/9781451823974.002,24c05b6c68511cc76e79b7ce3d94df995dd47779ba3d1ca3656472dddba5aa10
2002/013,2002,LCA,10.5089/9781451823165.002,56285857f9b00f95fff5fa3455b097e305fd1b618b415d2cb834323ce2201895
2002/017,2002,HTI,10.5089/9781451817553.002,bdfcba3f4b6111411aa5d4cd0950bf980969561595a2d73b7489030e80115fe4
2002/026,2002,VCT,10.5089/9781451839975.002,838f4280e7e4deb620cc8048e6158b6f86a6ef23a54f22d1d12bae3cd9f9f424
2002/029,2002,TCD,10.5089/9781451836424.002,78a2d62ab7d877dc023ea6f60e8b38e8845fa2ca1cae450de8ace0150b05e786
2002/030,2002,STP,10.5089/9781451835038.002,48a11d86577e8ecede53ef143d4ed05860a13ca645e127f2775b36c65a16803e
2002/050,2002,CAN,10.5089/9781451806885.002,5addc5a05c3782f02833b8424d7c8a626834bd63b16cc05542b4b9118606f116
2002/053,2002,ESP,10.5089/9781451812046.002,2159dd3ddb7b99d282ffd3a939b5a479a2d6bfcd4433d06ba2873df61f0dc9bc
2002/069,2002,PLW,10.5089/9781451831474.002,9d9b6128dbab37f77af3c88e84d83f1c45ee70a0460c3eb731ff408af9166f23
2002/088,2002,CRI,10.5089/9781451809602.002,b6ed9722ad807ec278b5ddfba753912e0acf7ebfb45ea0bd010513eed3c30b96
2002/090,2002,PRT,10.5089/9781451832143.002,4b9cf793f4a90b505c69eabf21d651083b438908378030d696f33d971908937a
2002/092,2002,BFA,10.5089/9781451803723.002,f23e36cfef7db9ce744204f15cce0c09c550c12843b064ac7d0f61205a0e53c1
2002/095,2002,GAB,10.5089/9781451813906.002,cbb4be5d2dc56f6439fbb85e9d9fa6d56a6a26d0d8b482518bbede4426c48c37
2002/101,2002,DNK,10.5089/9781451811049.002,54a2686e911973e8fa4c73b409eedf3a6a3d3b51695a3b2c79f628393e21c9a1
2002/106,2002,CHE,10.5089/9781451807196.002,938156cf5258a1aa1cdbbf4c8f0c77f0764c54fe9c64f67b6d03e18928b5f91b
2002/111,2002,HUN,10.5089/9781451817942.002,2c7318b0bfd523e72fba63da7f7ad86248c79d3fe404c240ab695634e2bade56
2002/113,2002,BGD,10.5089/9781451804065.002,1058e0743d14152960981987de5c825cb4cc8cfe3c3a03e934723a28439c9ad3
2002/118,2002,LUX,10.5089/9781451824339.002,d1be9478e7e4b4dffa5b608d20a9ad2bea73b410930148d16d9ce51f551b9d55
2002/125,2002,ZWE,10.5089/9781451841435.002,da5e81d17c8e5d3961b620c21cb51d957fb5e687cf14dcd54f86ad01230cc153
2002/127,2002,POL,10.5089/9781451831849.002,6312102e81accc2837d5dfd0801555a410afe0ff73054c1a029a0f380821f82a
2002/146,2002,UKR,10.5089/9781451838954.002,44ba8c67fa5d544e30ada1a7b99cfb4bbfac35080cd3d7c440f31c136615cd9d
2002/153,2002,GNB,10.5089/9781451815757.002,ddca3a8ac84fcbb72dd6bed55662754184b5f23977ed824d15cf8f4a05f4ca5c
2002/155,2002,CHL,10.5089/9781451807509.002,37e6f21039231f842c0711baf47b7c4b8d53879d915e5992998b0ed1c41c3435
2002/158,2002,BEN,10.5089/9781451803358.002,d9a85f3519188c5eec5a1a5727a5b80f98f8cfaca2ed0d3eb85d39593a7baeeb
2002/159,2002,SWE,10.5089/9781451835892.002,e1dc22765a242c21e67d8e57f1aa8976f2cba413e1642a8054ff7cdd0470b3d9
2002/166,2002,USA,10.5089/9781451839593.002,3b0ffab19e8995b3cf7f50b376b5557f33bd8f502b0dea65c6c09cee98999856
2002/170,2002,IRL,10.5089/9781451818741.002,8eee0dffac14e17a3fb0db5e2fa853dff28db76a39f51426fa36264e906bf967
2002/175,2002,JPN,10.5089/9781451820485.002,b68f2cd24ea26c11d152d04484df2ec3343bf5fef3b12a9e3af79a6ec885213c
2002/181,2002,MWI,10.5089/9781451827989.002,004c74f12337a27ff21ec142efcfbb29934c49fb1c2c779dc6da43f5c07502a2
2002/186,2002,FIN,10.5089/9781451813173.002,7343e41aada9571e79e5d34ed5310022118c9b2efb1bc12003d898054314d23c
2002/190,2002,MDA,10.5089/9781451824964.002,500fae5256595a2ec8665e8eb11733f85aef671557f453b2f099ea91f2c79db0
2002/197,2002,JAM,10.5089/9781451820096.002,abb68e8756faf8d47f08dcf0b4f030839bec204ad11d82a2c5c0a4aa558e54af
2002/199,2002,LKA,10.5089/9781451823509.002,4b03584b4355562e2093888cc1971a862423496566d0a7d136a193170109f380
2002/221,2002,LAO,10.5089/9781451822526.002,3eef77913587677d09bbd034cd44f43202e6e050665a2db09a3ea8e58e47f11f
2002/223,2002,DMA,10.5089/9781451810783.002,7e419c5f5aa23ed628d15af2139ed95ffba99d1ca5634fa5dc066c697b5bcbbc
2002/228,2002,ARM,10.5089/9781451801552.002,0704ff518f1b4cac72548d151ff12889b4e9cee4ba017b323182d63746a71bc9
2002/230,2002,ITA,10.5089/9781451819748.002,3f364864fc884ac971cb9292b23d19150c5e3cde1d31ed0259915020f32fe73c
2002/246,2004,PAK,10.5089/9781451830521.002,b45bc9e2ebfdf14fd9d0f908994d3e5c509670b966cb0cbaa5dc61db08ffb4ed
2002/258,2002,CMR,10.5089/9781451808100.002,5b83f1105ca726cdaaf8f3a11e7f3b6dcd46d78143608a33728f46bd33d2c78a
2002/263,2002,MRT,10.5089/9781451827477.002,08ca6072da8a91053e02ac3eab7624213f0452b7ffe70047ef2dc8ace68cf528
2003/006,2003,MDG,10.5089/9781451825268.002,a0bc0f64d09758f27131c19b7731d25b39484913f5f53598cca2c59753876317
2003/008,2003,FJI,10.5089/9781451813340.002,75f4718f354728ee24570149f31bc63b101ae33c38ebb57424f96c4ccfb10d2a
2003/010,2003,TJK,10.5089/9781451837001.002,0f1d7965f5b5c1b45a0ccb55115a71e310566cde89c6614b7bf174829bd893a7
